open,high,low,close,volume,rsi,macd,macd_signal,ema_20,sma_50,bollinger_m,bollinger_h,bollinger_l,adx,obv
3223.81,3242.34,3188.17,3199.21,208.9777,27.571689368728812,-67.48932599860609,-44.38509581476504,3327.124090426141,3391.8488,3377.8605,3673.135531485902,3082.5854685140976,49.66023991170709,-1824.9092999999993
3196.94,3230.31,3174.58,3205.29,431.7211,28.870804690948987,-68.35949303023244,-49.17997525785852,3315.5208437188894,3391.2780000000002,3360.732,3654.313252235221,3067.1507477647788,49.92037459207269,-1393.1881999999994
3205.82,3241.44,3115.71,3225.0,686.5435,33.06238064652244,-66.68991457318452,-52.681963120923726,3306.8998109837567,3391.237,3345.2765,3633.2124490077617,3057.340550992238,50.6297633067698,-706.6446999999994
3225.65,3233.64,3101.83,3105.77,603.9169,23.890806845764985,-74.13306632822469,-56.97218376238392,3287.7445908900654,3388.8268,3325.149,3620.856087902878,3029.441912097122,51.387096711354005,-1310.5615999999995
3104.62,3151.03,3068.78,3132.68,688.5189,28.698339311491623,-76.97310754566934,-60.97236851904101,3272.976534614821,3386.803,3303.0004999999996,3586.4421529358383,3019.558847064161,52.314729635360536,-622.0426999999995
3132.06,3166.77,3123.91,3161.94,280.1467,33.608996826837355,-75.98689359870241,-63.9752735349733,3262.401626556267,3385.305,3283.5385,3549.0287878280114,3018.048212171989,52.70760237829427,-341.8959999999995
3162.79,3221.74,3152.06,3203.26,288.1706,39.9034789850315,-71.0520890123471,-65.39063663044806,3256.7690906937655,3384.5828,3266.1454999999996,3503.3036388419973,3028.987361158002,51.601440304734254,-53.725399999999524
3203.52,3226.05,3193.04,3216.74,426.7434,41.840721747432376,-65.30075107132961,-65.37265951862437,3252.956796341978,3383.7178,3249.7875,3450.3674451465677,3049.207554853432,50.46746916700583,373.0180000000005
3216.38,3219.95,3117.12,3166.34,1106.464,37.03388554641567,-64.07106178909271,-65.11233997271805,3244.707577642742,3381.1915999999997,3231.8959999999997,3390.9162411518737,3072.8757588481258,50.20103397140257,-733.4459999999995
3166.66,3241.6,3156.9,3216.68,598.6079,43.9590913211643,-58.36174896923103,-63.76222177202065,3242.038284533909,3378.3654000000006,3217.8505,3319.958177571278,3115.742822428722,49.4297381797882,-134.83809999999949
3217.27,3217.44,3181.74,3192.46,187.9311,41.58907849343161,-55.155629250316906,-62.04090326767991,3237.3165431497273,3374.94,3210.5125,3296.497482613245,3124.5275173867544,48.713534944717715,-322.7691999999995
3192.44,3194.42,3155.56,3159.35,126.8203,38.530782313439175,-54.656411473386015,-60.56400490882113,3229.8911580878485,3370.6762,3204.9449999999997,3289.019028451122,3120.8709715488776,48.33202620143955,-449.5894999999995
3161.67,3173.85,3149.55,3159.19,104.3367,38.51604265604707,-53.65518487922827,-59.182240902902564,3223.1577144604344,3366.6606000000006,3199.3355,3279.824992848446,3118.846007151554,48.04222931941708,-553.9261999999994
3159.29,3203.28,3142.95,3197.89,199.1112,44.08744550901246,-49.17211350341495,-57.180215423005045,3220.7512654642023,3363.4392,3196.77,3273.9409499747157,3119.599050025284,46.97418990591228,-354.81499999999943
3196.95,3204.65,3180.03,3193.23,206.5241,43.5754055869733,-45.47110757075916,-54.838393852555875,3218.13019256285,3360.8380000000006,3193.9945,3267.389813603799,3120.5991863962004,45.94563464744987,-561.3390999999995
3193.24,3204.71,3181.54,3200.4,132.441,44.64076678539724,-41.48130397599152,-52.16697587724301,3216.4416027949596,3357.8035999999997,3191.3365,3259.580243530085,3123.0927564699145,44.98881879741181,-428.89809999999943
3198.92,3240.0,3197.31,3202.16,214.5423,44.915704566698345,-37.742269205435605,-49.28203454288153,3215.0814501478203,3352.6898000000006,3188.8869999999997,3251.6652367066804,3126.108763293319,43.11897648091194,-214.35579999999942
3202.53,3208.59,3192.84,3202.76,52.8034,45.01595915942402,-34.334851431291554,-46.29259792056354,3213.9079787051705,3346.6181999999994,3189.639,3252.7029725675447,3126.5750274324555,41.4635466768741,-161.5523999999994
3204.58,3207.5,3183.64,3187.24,54.0105,42.843809675225344,-32.51200444093638,-43.53647922463811,3211.36817120944,3340.5490000000004,3187.612,3248.1994044996154,3127.0245955003847,40.097774425464465,-215.56289999999942
3187.67,3191.31,3147.77,3173.73,233.4911,40.98965573835541,-31.7910615916162,-41.187395698033725,3207.7835834752077,3334.2975999999994,3185.066,3243.453365208579,3126.678634791421,39.449665934510435,-449.0539999999994
3172.82,3214.96,3169.18,3206.53,158.5709,46.98804573611339,-28.247404811190336,-38.59939752066505,3207.664194572807,3328.7509999999997,3185.432,3244.2595335536002,3126.6044664463993,38.15959744986224,-290.4830999999994
3206.54,3218.35,3190.43,3200.79,203.508,46.1048122213962,-25.607019529531954,-36.00092192243844,3207.0095093753966,3322.9294,3185.207,3243.7628007715716,3126.651199228428,36.864351398010676,-493.9910999999994
3201.77,3210.4,3158.29,3190.04,271.1124,44.42076058756086,-24.104073573480036,-33.62155225264676,3205.393365625359,3316.7490000000003,3183.459,3239.1773524164164,3127.7406475835833,36.24898391520912,-765.1034999999994
3191.36,3258.62,3161.48,3175.97,393.146,42.24574470667232,-23.774254678300167,-31.65209273777744,3202.591140327706,3309.905,3186.969,3230.0892420679666,3143.8487579320335,34.37251146729848,-1158.2494999999994
3173.79,3191.2,3113.98,3132.38,447.322,36.313465376384414,-26.72218284101291,-30.666110758424537,3195.904365058401,3301.6974,3186.954,3230.149914806843,3143.7580851931575,33.474279403401965,-1605.5714999999996
3133.76,3135.74,2995.14,2996.57,1419.2993,24.68356362982331,-39.561133021588375,-32.445115211057306,3176.9201398147434,3291.1621999999998,3178.6855,3272.047634396124,3085.323365603876,34.09983561988745,-3024.8707999999997
2997.03,3028.17,2863.0,2991.36,2219.0923,24.36123541981516,-49.584912986180825,-35.87307476608201,3159.247745546673,3280.5948,3168.0905000000002,3291.236183720542,3044.9448162794583,35.66411371661538,-5243.963099999999
2991.26,3002.95,2923.24,2964.24,818.9148,22.699565900350933,-59.03665041728709,-40.50578989632303,3140.6755793041325,3269.8315999999995,3155.4655,3305.0146471690814,3005.916352830918,37.11665766357704,-6062.8778999999995
2963.52,3065.15,2949.12,3056.14,646.4386,38.10606460260719,-58.43802133433837,-44.0922361839261,3132.6245717513584,3260.573,3149.9555,3305.496385489956,2994.414614510044,37.182600230055066,-5416.4393
3055.72,3094.59,3049.26,3080.67,194.9125,41.459903323006856,-55.34624047066882,-46.34303704127464,3127.676517298848,3251.6128,3143.1549999999997,3298.324727008845,2987.9852729911545,36.697292383872174,-5221.5268
3080.51,3109.01,3079.94,3092.4,269.5011,43.04910771713429,-51.357452153312806,-47.34592006368227,3124.316848984672,3242.9282000000003,3138.152,3293.0924451523215,2983.2115548476786,35.98207227095313,-4952.025699999999
